"SegmentName","KPI","size_treatment","size_control","mean_treatment","mean_control","rel_effect","confidence_interval","pValue","Significant"
"co_Passer-By","utilisation",313,426,0.463145600346618,0.378148169308209,0.224772821706115,"(-0.012 ; 0.182)",0.087,"NO"
"co_Passer-By","rides",313,426,2.84025559105431,2.0868544600939,0.361022364217252,"(-0.214 ; 1.72)",0.127,"NO"
"co_Passer-By","time_to_accept",313,426,7.25328820480095,5.25013586217399,0.38154295340416,"(0.734 ; 3.272)",0.002,"YES"
"co_Passer-By","time_to_reject",313,426,7.43861163818292,4.94732042673191,0.503563746950731,"(0.157 ; 4.825)",0.037,"YES"
"co_Passer-By","accepted",313,426,4.57507987220447,3.43192488262911,0.333094408727158,"(-0.289 ; 2.575)",0.117,"NO"
"co_Passer-By","rejected",313,426,20.6070287539936,14.2065727699531,0.450527800595056,"(-3.029 ; 15.83)",0.183,"NO"
"co_Passer-By","ignored",313,426,31.0479233226837,26.1924882629108,0.185375097281167,"(-7.179 ; 16.889)",0.429,"NO"
"co_Passer-By","broadcasts",313,426,56.2300319488818,43.830985915493,0.282883119656365,"(-6.902 ; 31.7)",0.208,"NO"
"co_Passer-By","drac_score_avg",313,426,31.8033652956694,18.7840731691463,0.693102715757509,"(1.485 ; 24.554)",0.027,"YES"
"co_Passer-By","driver_aborts",313,426,0.674121405750799,0.514084507042254,0.311304652282376,"(-0.07 ; 0.39)",0.173,"NO"
"co_Passer-By","pax_can",313,426,0.39297124600639,0.288732394366197,0.361022364217252,"(-0.05 ; 0.258)",0.185,"NO"
"co_Passer-By","rides_surge",313,426,0.396166134185303,0.206572769953052,0.917804240487946,"(0.008 ; 0.371)",0.04,"YES"
"co_NULL","Utilisation_weighted",191,188,0.638658364499354,0.621160042964554,0.0281703914039395,"(-0.028 ; 0.063)",0.448,"NO"
"co_NULL","AccR",191,188,0.998931509776686,1,-0.00106849022331446,"(-0.094 ; 0.092)",0.982,"NO"
"co_NULL","RejR",191,188,0.000213698044662891,0,Inf,"(0 ; 0.001)",0.319,"NO"
"co_NULL","IngoreR",191,188,0.000854792178651565,0,Inf,"(0 ; 0.002)",0.171,"NO"
"co_NULL","PassCanc_perAccepted",191,188,0.132527543052733,0.132654191119477,-0.000954723448054366,"(-0.015 ; 0.015)",0.987,"NO"
"co_NULL","driver_earning",191,188,62689.0052356021,60848.9361702128,0.030239954569495,"(-2550.808 ; 6230.946)",0.41,"NO"
